input,output,hint,weight,color
a,·a,,716,
a,唖,,708,
a,啊,,707,
a,啞,,709,
a bó,a-bó,,702,
a bó,阿母,,811,
a bú,a-bú,,704,
a bú,阿母,,813,
a kong,a-kong,,702,
a kong,阿公,,811,
a má,a-má,,702,
a má,阿媽,,811,
a pa,a-pa,,702,
a pa,阿巴,,802,
a pa,阿爸,,802,
a pah,a-pah,,701,
a pah,阿巴,,801,
a pah,阿爸,,801,
a pâ,a-pâ,,700,
a pâ,阿巴,,800,
a pâ,阿爸,,800,
a só,a-só,,700,
a só,阿嫂,,809,
ah,ah,,708,
ah,iá,,701,
ah,á,,701,
ah,亜,,660,
ah,亞,,661,
ah,唖,,700,
ah,啊,,699,
ah,啞,,701,
ah,夭,"""夭汝礼？""",651,
ah,野,,660,
ah nā,iá nā,,700,
ah nā,á nā,,700,
ah nā,夭若,,600,
ah nā,夭那,,601,
ah sī,á sī,,700,
ah sī,á-sī,,700,
ah sī,亜是,,608,
ah sī,亞是,,609,
an,安,1+25,965,
an ùi,an-ùi,,701,
an ùi,安慰,,810,
a̍h,iā,,700,
a̍h,也,,865,
a̍h sái,ā-sái,,700,
a̍h sái,也使,,600,
a̍h sī,iā sī,,700,
a̍h sī,也是,,609,
a̍h tio̍h,ā-tio̍h,,700,
a̍h tio̍h,也着,,601,
a̍h ū,ā-ū,,700,
a̍h ū,也有,,601,
bah,bah,,701,
bah,肉,,876,
bak tó͘,pak-tó͘,,700,
bak tó͘,腹肚,,809,
bat,bat,,708,
bat,八,,898,
bat,識,,899,
ba̍k chiu,ba̍k-chiu,,704,
ba̍k chiu,目周,,613,
ba̍k chiu,目珠,,612,
ba̍k sái,ba̍k-sái,,705,
ba̍k sái,目屎,,814,
beh,beh,,772,
beh,卜,,767,
beh boeh,beh boeh,,700,
beh boeh,卜卜,,603,
be̍h,be̍h,,700,
be̍h,袜,,620,
be̍h,襪,,621,
be̍h,麥,,870,
be̍h liâu,Be̍h-liâu,,700,
be̍h liâu,麥寮,,809,
bi long,彌濃,,850,
bi long,瀰濃,,851,
bi lóng,彌濃,,850,
bi lóng,瀰濃,,851,
bián,bián,,709,
bián,免,,889,
boeh,boeh,,747,
boeh,卜,,742,
boe̍h,boe̍h,,700,
boe̍h,袜,,620,
boe̍h,襪,,621,
bong,bong,,701,
bong,摸,,856,
bo̍k,Bo̍k,,700,
bo̍k,穆,,601,
bo͘,bo͘,,700,
bo͘,摸,,855,
bán,bán,,701,
bán,挽,,866,
bé,bé,,703,
bé,尾,,680,
bé,碼,,33,
bé,買,,673,
bé,馬,,866,
bé ló,bé-ló,,700,
bé ló,瑪珯,,800,
bé ló,瑪瑙,,800,
bé thâu,bé-thâu,,700,
bé thâu,碼頭,,809,
bé thâu,馬頭,,808,
bê,bê,,700,
bê,糜,,630,
bê,迷,,805,
bêng,bêng,,701,
bêng,明,,866,
bêng bêng,bêng-bêng,,700,
bêng bêng,明明,,809,
bí lē,bí-lē,,700,
bí lē,美麗,,809,
bî long,Bî-long,,700,
bî long,彌濃,,850,
bî long,瀰濃,,851,
bîn,岷,,34,
bîn chhn̂g,bîn-chhn̂g,,701,
bîn chhn̂g,眠床,,801,
bîn chhn̂g piⁿ,bîn-chhn̂g piⁿ,,700,
bîn chhn̂g piⁿ,眠床邊,,809,
bîn cho̍k,bîn-cho̍k,,701,
bîn cho̍k,民族,,810,
bóe,bóe,,703,
bóe,尾,,681,
bóe,買,,673,
bó͘,bó͘,,704,
bó͘,某,,894,
bô,bô,,823,
bô,無,,1022,
bô chiá,bô-·chiá,,700,
bô chiá,無者,,809,
bô hoat tō͘,bô hoat-tō͘,,701,
bô hoat tō͘,無法度,,810,
bô iáⁿ,bô iáⁿ,,705,
bô iáⁿ,無影,,814,
bô khah choa̍h,bô khah choa̍h,,700,
bô khah choa̍h,無卡咀,,808,
bô khah choa̍h,無卡絶,,806,
bô khah choa̍h,無恰咀,,809,
bô khah choa̍h,無恰絶,,807,
bô lūn,bô lūn,,702,
bô lūn,無論,,811,
bô tek khak,bô tek-khak,,700,
bô tek khak,無的確,,809,
bô tú hó,bô tú hó,,700,
bô tú hó,無抵好,,608,
bô tú hó,無𫔘好,,609,
bô tī tāi,bô tī-tāi,,700,
bô tī tāi,無值事,,806,
bô tī tāi,無值代,,808,
bô tī tāi,無治事,,807,
bô tī tāi,無治代,,809,
bûn,Bûn,,700,
bûn,bûn,,700,
bûn,文,,875,
bûn chhn̂g,bîn-chhn̂g,,700,
bûn chhn̂g,眠床,,800,
bûn ha̍k,bûn-ha̍k,,700,
bûn ha̍k,文學,,809,
bûn hòa,bûn-hòa,,702,
bûn hòa,文化,,811,
bān,Bān,,700,
bān,bān,,701,
bān,万,,856,
bān,萬,,857,
bāng,bāng,,702,
bāng,夢,,877,
bāng,望,,867,
bē,bē,,716,
bē,未,,701,
bē,袂,,676,
bē,賣,,668,
bē kì tit,bē kì-tit,,701,
bē kì tit,袂記得,,810,
bē tit,bē tit,,700,
bē tit,袂得,,805,
bī,媚,,33,
bīn,bīn,,705,
bīn,面,,870,
bīn chêng,bīn-chêng,,701,
bīn chêng,面前,,810,
bōe,bōe,,716,
bōe,未,,706,
bōe,袂,,671,
bōe,賣,,667,
bōe kì tit,bōe kì-tit,,700,
bōe kì tit,袂記得,,809,
bōe tit,bōe tit,,700,
bōe tit,袂得,,805,
būn tê,būn-tê,,701,
būn tê,問題,,810,
būn tôe,būn-tôe,,700,
būn tôe,問題,,809,
cha bó͘,cha-bó͘,,705,
cha bó͘,查某,,814,
cha bó͘ gín ná,cha-bó͘ gín-ná,,700,
cha bó͘ gín ná,cha-bó͘ gín-á,,700,
cha bó͘ gín ná,查某囝仔,,800,
cha bó͘ gín á,cha-bó͘ gín-á,,700,
cha bó͘ gín á,查某囝仔,,800,
