input,freq,chhan_id
ai ai,0,4565
but but,10,6153
bâng bâng,0,1565
bó,2,187
bông bông,0,1566
bú,2,187
chan,0,2973
chek,0,1637
chhih chhih,0,1417
chi,0,1180
chiam,0,1821
chiaⁿ,2,1825
chiu,0,1731
chiáng,0,4140
chióng,309,240
chiⁿ,1,3638
chong,0,4136
ham,6,267
hi,0,4360
hia̍h,1,747
hu,0,2052
hut hut,0,3611
hêng,100,946
hòa,1,6100
hô,11,940
hē,2,1991
ia̍h,100,1806
iú,1,6213
iāⁿ iāⁿ,0,1680
jiông,0,3978
kang,494,307
khah,3392,104
khak,1,931
khiàu khiàu,0,1476
khok khok,0,1477
kho̍k kho̍k,0,1477
khá,0,2220
ki ki,0,3137
kiak kiak,0,3624
kia̍k kia̍k,0,3624
kiān,1,2970
koaiⁿ,110,4740
koáiⁿ,10,5503
koán,152,4435
ko͘,10,1011
kuiⁿ,55,4740
kà kà,0,2161
kê,0,4011
kì kì,0,1475
kòng kòng,0,3224
kôe,0,4011
kô͘ kô͘,0,1483
kúiⁿ,5,5503
kīm,0,4099
kū,180,1382
lin long,2,3627
liu liu,10,6275
liàn liàn,0,2431
liáu liáu,11,490
liâu,0,1757
liù liù,11,6280
lok lok,0,2461
lu̍t,0,2469
làm,0,1589
lâu,702,2387
lêng,20,3326
lìn lìn,0,2431
lòm,0,1589
lòng lòng,0,2407
lóng lóng,0,2406
lī lī,0,4770
lōa,644,575
mà mà,1,2478
pa,0,3904
phiâⁿ,5,854
pho pho,0,4988
phut phut,0,2254
phà phà,1,5637
phài,0,4817
phí,0,1915
phóng phóng,10,2571
phō͘,0,1817
piàng piàng,0,1484
po͘,0,3330
po͘ thâu,0,4032
pâi,209,3547
pé,2,955
sai,110,450
sai sai,0,1495
sak,1,2622
siak siak,0,3440
sian,10,1718
sih sih,10,1496
siâu,110,1191
siāng,553,128
siōng,1106,128
soa,0,1046
sàng,414,452
sì lâng,1,647
sòaⁿ,101,980
sû,0,2714
tan,0,3846
tang tang,10,3157
te,0,2516
tek,1,1482
teng,1,1163
te̍k,0,1482
thi thi,1,4225
thàng thàng,0,2804
thàu thàu,100,5662
tiong,200,545
tiuⁿ lê,0,2392
tiuⁿ lôe,0,2392
tiân,0,1978
tiâu,622,543
tiâⁿ,0,2855
tiāu,0,2219
tn̂g,205,551
tuh tuh,0,2911
tun,0,1095
tòng tòng,0,5797
tû,0,1104
tū tū,0,2915
ka,17,296
á,467,1
á kiáⁿ,10,4558
î,0,3010
a thài,0,4578
a bí,1,589
a bí cho̍k,1,4577
a chiu,10,590
a kiat á,0,3683
a kâu,1,1502
a lian,10,1504
a lí káng,0,3791
a lí san,0,4376
a lí soaⁿ,0,4550
a mi,0,1499
a mí tô hu̍t,10,4186
a mí tô͘ hu̍t,10,4186
a mî,0,1499
a píⁿ á,0,3682
a pō͘,0,5111
a tok á,0,4092
a tà bū,0,1506
alaska,0,5748
atayal,0,5839
ai,0,4078
an lâm,0,3776
an pêng,10,1480
an sūn,0,3775
an tîn,0,5149
an tēng,10,3831
ang,101,607
ang kong,11,616
au,10,604
au iâng,0,3020
au iông,0,3020
au âng,0,1518
ba ta bia,0,6081
ba̍k sa,11,6149
be̍h liâu,0,5341
bi long,0,3329
bi lóng,0,3329
biàn juh,0,5997
bián tiān,0,5964
biâu le̍k,10,4282
biān tiān,0,5964
boán chiu,0,3778
bo̍k,0,5304
bo̍k chhoan,1,5104
bo̍k hā,0,5175
bu lun,0,3696
bun un,0,3696
bun ún,0,3696
báng kah,0,1562
báng sut,1,3235
báu,0,3848
báu ò,0,3190
bâ khang,0,1543
bân bân,0,3034
bân lâm,1,4064
bé chām,0,6329
bé heng,0,3780
bêng kó͘ ok,0,2953
bí chiu,1,4003
bí kok,100,918
bí kok chúi chhêng,0,5302
bí lē tó,10,4056
bí lūn,0,4332
bî long,0,3329
bî lô,0,3804
bî lô káng,0,3805
bîn chiòng tóng,10,5523
bîn chìn tóng,100,5522
bîn chú tóng,10,5526
bîn hiông,0,4373
bîn sī,10,5686
bóe chām,0,6329
bóng chhī,0,3561
bóng io,0,3560
bôe san,10,3950
bông chéng,1,6042
bông kó͘,0,5042
bú lok,0,2460
bú lo̍k,0,2460
bú lūn,0,3696
bú tiân,1,3874
bû,0,3009
bûn,11,191
bûn lâi,1,2710
bûn san,1,6152
bān,292,86
bān bân,0,3034
bān le̍k,0,3742
bān tan,0,3099
bāng oaⁿ,0,3252
bēng,0,3209
cha bó͘ iâⁿ,0,3883
chai tîn,0,5107
chan bûn,0,3951
chau,1,3391
cha̍p jī pô chiá,1,5466
cheng tiân,0,5156
chheng bo̍k,0,5123
chheng bêng,10,5510
chheng chúi,11,1057
chheⁿ miâ,5,5510
chhia chan,0,3954
chhia chân,0,3954
chhia lián tóng,10,5958
chhian hio̍h,0,5166
chhian lí gán,1,6410
chhim chùn,1,9374
chhim kheⁿ,12,6160
chhiong sêng,1,883
chhit bí,0,3254
chhit chheⁿ soaⁿ,0,3755
chhit chheⁿ thâm,0,3138
chhit kó͘ liâu,0,3835
chhiū nâ á,110,886
chhiⁿ miâ,5,5510
chhoan kiā,1,6020
chhoan siōng,0,5124
chhoan tiân,1,5158
chhun hun,1,6043
chháu tùn,10,1245
chháu tūn,1,1245
chháu ê tun,0,1244
chháu ôe tun,0,1244
chhâ siâⁿ,1,710
chhâ tiân,0,5145
chhân,100,207
chhân liâu,0,3815
chhân tiong ng,10,714
chhî,10,2975
chhòa,0,2880
chhī chhoan,0,5171
chi ná,10,1181
chiang chiu,1,4019
chiang hòa,10,1850
chiang hô,0,4111
chiang pêng,0,4307
chiok,560,238
chiong,611,239
chiong chiu,1,4019
chiong hòa,10,1850
chiong kun,0,3841
chio̍h,0,3024
chio̍h chhoan,0,5114
chio̍h chéⁿ,1,3062
chio̍h chíⁿ,1,3062
chio̍h kng á,0,3325
chio̍h ku khe,0,4844
chio̍h lang,0,2404
chio̍h lâng,1,613
chio̍h pâi,0,3759
chio̍h tiân,0,5140
chio̍h tēng,0,1848
chio̍h tēng á,0,4456
chiuⁿ,2,3327
chiuⁿ phó͘,0,1623
chiàu an,1,6116
chiáu chhêng,0,3807
chiáu á tau,0,2691
chiáⁿ chúi káng,1,3182
chiân tiân,1,5120
chiú chéⁿ,1,3403
chiúⁿ,11,2334
chiā,10,1624
chng,120,244
choân chiu,0,1870
cho͘,1,1864
chu,20,2897
chu kat,1,6356
chu lô san,0,5313
chu á soaⁿ,0,4218
cháu ti,0,2952
chè lâm,0,3511
ché lâm,0,3511
chéng á,0,5222
chéⁿ siōng,1,5106
chê tîn,0,5103
chìn kang,0,5017
chîn sí ông,0,5262
chîⁿ,1041,236
chò chò bo̍k,0,5099
chò iá,0,5167
chò tîn,0,5093
chó tiū tiân,1,5722
chó tìn,0,3828
chô,0,2987
chú koaⁿ,0,3806
chúi bé,10,529
chúi bóe,20,529
chúi lí,0,3763
chúi lí kheⁿ,0,3764
chúi siōng,0,4076
chām chùn kháu,0,6330
ek cháiⁿ kim siâⁿ,0,6080
eng chéⁿ,0,5165
eng gí,100,4794
eng gú,1,4794
eng ko,0,3332
eng ko chio̍h,0,3331
eng kok,10,6383
e̍k keng,1,3127
ge̍h bâi,0,1932
gio̍k chéⁿ,0,3840
gio̍k hông tāi tè,0,5284
giâm,0,3852
giâm lô,0,3855
giâm lô ông,0,3856
giâm ông,0,3854
gióng kong,0,6216
giû tin,0,3989
goe̍h bâi,0,1932
goân,1,5146
goân chióng,0,4138
goân chū bîn,0,4693
goân tiân,0,5134
gâm kiā,1,3416
gân,10,1907
gân tì,1,805
gê,0,1908
gî,0,3850
gî lân,10,6582
gô lô,1,5485
gôe,0,3940
gô͘,0,2891
gô͘ chhe,0,1920
gû,259,3202
gû po͘,0,3743
gû po͘ á,0,3744
gû taⁿ oan,0,3448
gû tin,0,3989
gī tek,10,6598
gō͘ chhe káng,0,1921
gō͘ chàn lâu á,0,1052
gō͘ ge̍h choeh,1,5751
gō͘ goe̍h cheh,1,5751
gō͘ ji̍t cheh,1,5750
gō͘ ji̍t choeh,1,5750
gūi,0,3011
ha̍k kah,0,3843
hi lia̍p,1,5875
hi lī nî,1,5799
hiang káng,0,4820
hiong káng,0,4820
hiong san,0,4486
hiong san tn̂g,0,4484
hiong soaⁿ,0,4487
hiàng,100,273
hiâⁿ chhù,0,3644
hiòng,192,273
hiō tîn,0,5117
hoa,0,2040
hoa lian,100,802
hoa liân,10,802
hoa liân káng,1,801
hoan á lō͘,0,4375
hoe kan sū,0,2054
hoe lian,1,802
hoe liân káng,1,801
hoe tôaⁿ,10,6118
hok,0,4756
hok heng,0,3049
hok heng chng,0,3050
hok kiàn,10,5776
hok tek chèng sîn,0,5285
hok tiân,0,5128
hong káng,0,3237
hong lah,0,3870
hong oán,1,6147
hong tah,0,3870
hoâiⁿ pin,1,1209
hoâiⁿ san,1,6084
hoān,10,2041
ho̍h ló,10,1308
hui chiu,0,3998
hui chiu á,0,4002
hui li̍p pin,10,1091
hui lu̍t pin,1,1091
hun hn̂g,1,5398
hàn bûn,0,4936
hàn io̍h,0,4935
hàn jîn,0,4773
hàn jī,0,4652
há má seng,0,3610
hân,10,2986
hân kok,100,5627
hâng chiu,0,4018
hâu,0,3021
hê siūⁿ chiu,0,4473
hêng chhun,0,1994
hêng chhun á,0,4446
hêng hòa,0,5781
hî kong tó,0,3193
hîm,11,2021
hòng chng,0,3050
hó͘ bé,1,5320
hó͘ bóe,1,5320
hô iá,1,4391
hô lân,10,1798
hô tiân,0,5142
hôa,0,3938
hôa gí,0,4695
hôa gú,0,4695
hôa jîn,0,2805
hôe siūⁿ chiu,0,4473
hông hô,0,3413
hông lâi,0,3967
hô͘ lô͘ tó͘,0,6253
hú san,0,4381
hā,0,3942
hān khe,0,4349
hē chì,1,6161
hō ló,10,1308
hōng soaⁿ,0,3803
hō͘ bé,0,2029
hō͘ bóe,0,2029
i lo koh,0,2573
i thài lī,0,6124
i tîn,1,3376
ia hô hoa,0,2806
ia so͘,1,3653
ia̍h keng,0,3127
ia̍p,10,677
iàn châu,0,2690
iá chhoan,1,5173
iá kháu,0,5164
iâ hô hoa,0,2806
iâ so͘,10,3653
iâm po͘,0,3788
iâm tiâⁿ,0,6237
iâu,0,3031
iông chú kang,0,3118
iû,0,2117
iûⁿ,137,1979
iûⁿ mûi,0,3737
jiáu a,0,1078
jiáu oa,0,1078
ji̍t goa̍t thâm,0,4525
ji̍t gí,100,6382
ji̍t gú,10,6382
ji̍t ko,0,5179
ji̍t kong,0,3679
ji̍t pún,383,4660
jî,0,2132
jî gio̍k,1,6075
jîm,0,2124
jîn bú,0,3809
jîn tek,0,3825
jû,0,2132
jī chàn hâng,0,3380
jī chàn hâng khe,0,4493
jī chàn hâng khoe,0,4493
jī jī pat,10,7228
jī lūn,0,3116
jī têng,0,4479
jī têng khe,0,4480
jī têng khoe,0,4480
jī têng káng,0,4482
jī têng po͘,0,4481
jī ông,0,4855
ka cháu,0,3240
ka gī,0,4074
ka la̍h po͘,0,1555
ka la̍h á,0,3154
ka lí,0,2166
ka lí hin,0,3244
ka pòa sóa,0,3912
ka pòa sū,0,3911
ka pû lóng,0,4902
ka tang,0,2164
ka tang kha,0,2165
ka tiaⁿ á,10,789
ka tîn,0,5096
kah sian po͘,0,3821
kang soaⁿ,0,3917
kang soaⁿ á,0,3916
kang tîn,1,3897
kap húi,0,5180
kat,10,2189
ke bo̍k lông,1,5361
ke lâng,10,1370
ke lâng khi̍t,0,4068
keh,0,2887
keng chiu,1,6428
keng te̍k,1,5333
keⁿ ti̍t,1,5333
khe chiu,0,1733
khe sim pà,0,6114
kheh,12,1126
kheh chng,1,6384
kheh gí,100,4876
kheh gú,10,4876
kheh lâng,100,4441
kheh ōe,0,4874
khiong,0,3946
khng,0,3680
khoe chiu,0,1733
khong á liâu,1,859
khu,0,2300
khàm téng,0,3241
khóng,11,2296
khó͘,184,2881
không á liâu,1,859
khōng á liâu,1,859
ki,558,328
ki chìn tóng,100,5524
ki tok,1,4654
kiang,0,3946
kiat tiân,0,5097
kiat tâ,0,3089
kiaⁿ to͘,0,4401
kim,142,335
kim chéⁿ,0,5154
kim chú,0,5126
kim siâⁿ,0,5040
kim thah,0,2757
kiok tē,0,5174
kiong hā,0,6071
kiong kiā,1,3725
kiong pún,0,5152
kip chúi,0,3880
kip chúi khe,0,4495
kip chúi khoe,0,4495
kiâm chúi,11,1028
kiâu pún,1,5113
kióng,0,3928
kiô á thâu,0,3811
kiōng hô tóng,10,5527
kiōng sán tóng,10,5528
kiⁿ á liâu,0,5602
ko,100,2979
ko biân,0,2711
ko bo̍k,0,5147
ko chhiū,0,3789
ko chhiū kha,0,3790
ko hiông,0,3227
ko iông,0,3227
ko kiâu,1,5095
ko lê,1,1796
ko pîn khe,0,4496
ko pîn khoe,0,4496
ko sa,1,6029
ko tiân,0,5157
ko toan,1,6031
koa,191,3359
koan,0,3929
koan biō,1,5589
koan goân,0,5161
koan sai,0,4352
koan se,0,4351
koan tang,0,4353
koan tong,0,4353
koaⁿ chin hāng?,0,5903
koaⁿ tiān,10,3867
koe lâng,5,1370
koeh,0,2887
koh oa̍h cheh,1,5559
koh oa̍h choeh,1,5559
kok bîn tóng,100,5529
kok gí,0,4915
kok gú,0,4915
kok kháu,0,5168
kong pún,0,5133
kong san,0,3526
kong sī,10,5685
kong tiân,0,5118
koân soaⁿ kha,0,6219
ku,10,1195
ku soaⁿ,0,5293
ku á lut,0,2468
kui jîn,0,3827
kám á lòa,0,3388
kán,11,2171
kán po͘ chē,0,3773
káu tè chhù,0,3787
kè khoe,0,4006
kéng,10,933
kéng bé,10,580
kéng bóe,5,580
kí,11,3027
kî san,0,3818
kî āu,0,3794
kòe khe,0,4006
kòng liâu,1,5601
kò͘,230,576
kóng koaⁿ,0,3243
kó͘ lōng sū,0,4297
kī tàn,0,3580
kīn tîn,0,5119
kńg chiu,0,4823
kńg sai,1,6096
kńg tang,0,4824
kū tàn,0,3580
kūn tîn,0,5119
la teng,0,2964
lau ak,0,6292
la̍k kah,0,3869
la̍k kha tiān,0,4073
la̍k ku lí,0,2355
la̍p báu,0,6302
le̍k,0,4929
le̍k tóng,10,5525
liap,1,3933
lia̍t sū,0,4644
lio̍k,0,3026
liâm,11,1755
liân,338,371
lióng kong,0,4083
liông kiā,0,3834
liú chhoan,0,6171
liú iâⁿ,0,3884
liû khiû,10,2438
liû kiû,1,2438
liāu,10,2901
liāu thiam teng,1,6499
li̍p chhun,1,5331
li̍p hā,1,4292
li̍p hē,1,4292
loán,1,826
lo̍h,735,6
lo̍k káng,0,3863
lo̍k môa sán,0,6151
lo̍k ní mn̂g,1,681
lo̍k tin,0,3969
lo̍k á chháu,0,4052
lo̍k á káng,0,3862
làm á,0,2378
lâi oân,0,3474
lâm chiu,0,3784
lâm hong ò,0,4388
lâm hòa,0,3829
lâm iûⁿ,0,2960
lâm káng,0,2859
lâm oaⁿ,0,5018
lâm se,0,3868
lâm tūn,0,1242
lâm á kheⁿ,0,2135
lê,0,3079
lêng bo̍k,1,5094
lêng nâ,0,1906
lêng á liâu,0,3217
lí,13744,44
lí kang khioh,1,3407
lí ke jiân,0,6146
lîm,181,375
lîm phú,0,3891
lîm hn̂g,0,2453
lîm kí po͘,1,4526
lîn lo̍k,0,3038
lô,1,2441
lô chhia,0,3654
lô chúi,0,3918
lô chúi khe,0,4494
lô chúi khoe,0,4494
lô má,0,5308
lô má jī,10,4662
lô tong,10,3234
lông kiau,0,3668
lô͘,0,3016
lô͘ chiu,0,4476
lûi,10,2888
lāi mn̂g,0,3817
lāi po͘,0,3255
lē kèng kì,1,5720
lē siā,0,3242
lī,249,2882
lōa hō͘,0,3919
lōa lâm,0,3921
lōe tiân,1,5144
lōng sok,0,3340
lō͘ chiu,0,4476
lō͘ kok,0,4983
lō͘ se a,10,4982
lū,0,2882
lū sòng,0,2402
lūn pòe,0,3124
lūn á,0,2466
ma ka ta o͘h,0,5003
ma ni lah,0,3699
